epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
34,624.891,1.24412,4.60499,1.28134,0.52735,0.40116,0.4055,0.26633,1.32056,inf,1.27334,5.07174e-05,5.07174e-05,5.07174e-05,2
35,642.126,1.26693,4.73111,1.2974,0.52954,0.39213,0.40854,0.26832,1.32281,inf,1.27461,4.98124e-05,4.98124e-05,4.98124e-05,2
36,660.68,1.25294,4.54013,1.27726,0.5359,0.39931,0.40641,0.26769,1.3236,inf,1.27447,4.88916e-05,4.88916e-05,4.88916e-05,2
37,678.171,1.24485,4.56976,1.27703,0.56107,0.38771,0.407,0.26808,1.32275,inf,1.27426,4.7956e-05,4.7956e-05,4.7956e-05,2
38,695.706,1.25185,4.60619,1.2802,0.54952,0.39179,0.40897,0.27051,1.31518,inf,1.27076,4.70064e-05,4.70064e-05,4.70064e-05,2
39,713.623,1.25309,4.53855,1.27761,0.52764,0.39633,0.4102,0.26909,1.31468,inf,1.26762,4.60439e-05,4.60439e-05,4.60439e-05,2
40,732.508,1.24217,4.52928,1.27507,0.5362,0.39261,0.40764,0.26808,1.3187,inf,1.27275,4.50692e-05,4.50692e-05,4.50692e-05,2
41,749.988,1.22509,4.50543,1.26452,0.53755,0.39143,0.40937,0.26926,1.32022,inf,1.27493,4.40835e-05,4.40835e-05,4.40835e-05,2
42,768.613,1.2507,4.54629,1.28124,0.53734,0.39783,0.40751,0.26827,1.31834,inf,1.2729,4.30877e-05,4.30877e-05,4.30877e-05,2
43,786.175,1.22054,4.5125,1.27309,0.55317,0.38848,0.40779,0.26841,1.31965,inf,1.27387,4.20828e-05,4.20828e-05,4.20828e-05,2
44,805.071,1.24836,4.50889,1.27083,0.55074,0.39119,0.407,0.26754,1.32134,inf,1.27318,4.10697e-05,4.10697e-05,4.10697e-05,2
45,822.347,1.24941,4.5467,1.27755,0.56407,0.38451,0.40784,0.26824,1.32304,inf,1.27403,4.00495e-05,4.00495e-05,4.00495e-05,2
